Category,Score,Tweet
government,0.058823529411764705,"RT @charlesmilander: Coral reefs are bleaching way more frequently because of global warming
https://t.co/8YeKCm0p9t from 0-100k followers,â€¦"
warmth,0.058823529411764705,"RT @charlesmilander: Coral reefs are bleaching way more frequently because of global warming
https://t.co/8YeKCm0p9t from 0-100k followers,â€¦"
terrorism,0.058823529411764705,"RT @charlesmilander: Coral reefs are bleaching way more frequently because of global warming
https://t.co/8YeKCm0p9t from 0-100k followers,â€¦"
weakness,0.047619047619047616,"RT @RichardDawkins: Ban on phrase “climate change' seems to have started in Florida, the state most vulnerable to sea-level rise https://t.…"
communication,0.047619047619047616,"RT @RichardDawkins: Ban on phrase “climate change' seems to have started in Florida, the state most vulnerable to sea-level rise https://t.…"
speaking,0.047619047619047616,"RT @RichardDawkins: Ban on phrase “climate change' seems to have started in Florida, the state most vulnerable to sea-level rise https://t.…"
money,0.125,"@ludichrisspeed Definitely the climate change extinction, sexy lady."
cold,0.125,"@ludichrisspeed Definitely the climate change extinction, sexy lady."
attractive,0.125,"@ludichrisspeed Definitely the climate change extinction, sexy lady."
sexual,0.125,"@ludichrisspeed Definitely the climate change extinction, sexy lady."
weather,0.125,"@ludichrisspeed Definitely the climate change extinction, sexy lady."
warmth,0.125,"@ludichrisspeed Definitely the climate change extinction, sexy lady."
feminine,0.125,"@ludichrisspeed Definitely the climate change extinction, sexy lady."
money,0.1111111111111111,100 most popular slogans on climate change https://t.co/Cg3EMPYESA #climatechange2
cold,0.1111111111111111,100 most popular slogans on climate change https://t.co/Cg3EMPYESA #climatechange2
attractive,0.1111111111111111,100 most popular slogans on climate change https://t.co/Cg3EMPYESA #climatechange2
weather,0.1111111111111111,100 most popular slogans on climate change https://t.co/Cg3EMPYESA #climatechange2
dominant_personality,0.1111111111111111,100 most popular slogans on climate change https://t.co/Cg3EMPYESA #climatechange2
warmth,0.1111111111111111,100 most popular slogans on climate change https://t.co/Cg3EMPYESA #climatechange2
friends,0.1111111111111111,100 most popular slogans on climate change https://t.co/Cg3EMPYESA #climatechange2
money,0.09090909090909091,More than a thousand military sites vulnerable to climate change https://t.co/yZMWzLSXOI
cold,0.09090909090909091,More than a thousand military sites vulnerable to climate change https://t.co/yZMWzLSXOI
weakness,0.09090909090909091,More than a thousand military sites vulnerable to climate change https://t.co/yZMWzLSXOI
military,0.09090909090909091,More than a thousand military sites vulnerable to climate change https://t.co/yZMWzLSXOI
weather,0.09090909090909091,More than a thousand military sites vulnerable to climate change https://t.co/yZMWzLSXOI
warmth,0.09090909090909091,More than a thousand military sites vulnerable to climate change https://t.co/yZMWzLSXOI
government,0.09090909090909091,"Lo dingin banget deh, mending ke kutub gih selametin global warming"
warmth,0.09090909090909091,"Lo dingin banget deh, mending ke kutub gih selametin global warming"
terrorism,0.09090909090909091,"Lo dingin banget deh, mending ke kutub gih selametin global warming"
money,0.11764705882352941,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
cold,0.11764705882352941,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
warmth,0.11764705882352941,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
weather,0.11764705882352941,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
law,0.11764705882352941,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
journalism,0.058823529411764705,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
business,0.058823529411764705,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
driving,0.058823529411764705,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
dominant_heirarchical,0.058823529411764705,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
leader,0.058823529411764705,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
economics,0.058823529411764705,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
negative_emotion,0.058823529411764705,RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ https://t.co/yJOOQuMXyE
cold,0.11764705882352941,"All American climate change theorists sitting in Marrakesh &amp;discussing climate change, you've been Trumped #trumpwins #COP22 #climatechange"
weather,0.11764705882352941,"All American climate change theorists sitting in Marrakesh &amp;discussing climate change, you've been Trumped #trumpwins #COP22 #climatechange"
warmth,0.11764705882352941,"All American climate change theorists sitting in Marrakesh &amp;discussing climate change, you've been Trumped #trumpwins #COP22 #climatechange"
money,0.058823529411764705,"All American climate change theorists sitting in Marrakesh &amp;discussing climate change, you've been Trumped #trumpwins #COP22 #climatechange"
dance,0.041666666666666664,RT @ClimateCentral: Itâ€™s easy for some people to tune out the impacts of a warming planet. Thatâ€™s why Climate Central works with TV weaâ€¦
confusion,0.041666666666666664,RT @ClimateCentral: Itâ€™s easy for some people to tune out the impacts of a warming planet. Thatâ€™s why Climate Central works with TV weaâ€¦
hearing,0.041666666666666664,RT @ClimateCentral: Itâ€™s easy for some people to tune out the impacts of a warming planet. Thatâ€™s why Climate Central works with TV weaâ€¦
music,0.041666666666666664,RT @ClimateCentral: Itâ€™s easy for some people to tune out the impacts of a warming planet. Thatâ€™s why Climate Central works with TV weaâ€¦
listen,0.041666666666666664,RT @ClimateCentral: Itâ€™s easy for some people to tune out the impacts of a warming planet. Thatâ€™s why Climate Central works with TV weaâ€¦
warmth,0.041666666666666664,RT @ClimateCentral: Itâ€™s easy for some people to tune out the impacts of a warming planet. Thatâ€™s why Climate Central works with TV weaâ€¦
musical,0.041666666666666664,RT @ClimateCentral: Itâ€™s easy for some people to tune out the impacts of a warming planet. Thatâ€™s why Climate Central works with TV weaâ€¦
dominant_heirarchical,0.1111111111111111,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
royalty,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
journalism,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
business,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
cold,0.05555555555555555,"RT @SierraClub: The monarch butterly faces 3 interwoven threats: habitat loss, large-scale corporate farming, &amp; climate change. https://t.c…"
