Category,LLM_Normalized_Score,Human_Normalized_Score,Normalized_Score_Difference
achievement,0.00893934019155729,0.004953560371517028,0.0039857798200402614
affection,0.0028024122029088328,0.0017847386632671644,0.0010176735396416683
aggression,0.00535650940049663,0.0035330540885084682,0.0018234553119881622
air_travel,0.005250088683930472,0.005900564560189401,-0.0006504758762589284
alcohol,0.0009223128769067045,0.0007648879985430705,0.00015742487836363397
ancient,0.0008868393047179851,0.0016754689491895829,-0.0007886296444715978
anger,0.0011706278822277403,0.001238390092879257,-6.77622106515167e-05
animal,0.0024831500532103584,0.0032416681843015845,-0.0007585181310912261
anonymity,0.000177367860943597,0.0003278091422327445,-0.00015044128128914748
anticipation,0.003334515785739624,0.0013476598069568386,0.0019868559787827858
appearance,0.0010996807378503015,0.0035330540885084682,-0.0024333733506581665
art,0.0031926214969847464,0.001966854853396467,0.0012257666435882796
attractive,0.0008868393047179851,0.002476780185758514,-0.001589940881040529
banking,0.01010996807378503,0.012529593880896011,-0.0024196258071109804
beach,0.004647037956722242,0.008559460936077217,-0.003912422979354975
beauty,0.002731465058531394,0.001894008377344746,0.000837456681186648
blue_collar_job,0.00046115643845335224,0.0004735020943361865,-1.2345655882834241e-05
body,0.0021638879035118836,0.00218539428155163,-2.1506378039746338e-05
breaking,0.006420716566158212,0.005135676561646331,0.0012850400045118816
business,0.031642426392337705,0.02855581861227463,0.003086607780063075
car,0.0052855622561191916,0.004953560371517028,0.0003320018846021634
celebration,0.00415040794608017,0.00655618284465489,-0.00240577489857472
cheerfulness,0.0006030507272082299,0.0006920415224913495,-8.899079528311958e-05
childish,0.0005675771550195105,0.001821161901293025,-0.0012535847462735146
children,0.0030507272082298687,0.005244946275723912,-0.002194219067494043
cleaning,0.0030152536360411493,0.00509925332362047,-0.0020839996875793203
clothing,0.0007449450159631075,0.0017118921872154435,-0.000966947171252336
cold,0.04760553387726144,0.02983063194317975,0.017774901934081693
college,0.0095069173465768,0.008231651793844472,0.001275265552732328
communication,0.015182688896771905,0.01242032416681843,0.002762364729953474
competing,0.007307555870876197,0.0036059005645601894,0.0037016553063160076
computer,0.0031926214969847464,0.00364232380258605,-0.00044970230560130355
confusion,0.0023412557644554807,0.003205244946275724,-0.0008639891818202432
contentment,0.0015608371763036538,0.0013476598069568386,0.00021317736934681523
cooking,0.0015253636041149344,0.0021125478054999087,-0.0005871842013849744
crime,0.004682511528910961,0.0070661081770169365,-0.002383596648105975
dance,0.0006385242993969493,0.001238390092879257,-0.0005998657934823077
death,0.004682511528910961,0.0029502822800947003,0.001732229248816261
deception,0.0012061014544164598,0.001602622473137862,-0.0003965210187214022
disappointment,0.0031216743526073076,0.0021489710435257693,0.0009727033090815383
disgust,0.0009577864490954239,0.0008377344745947914,0.00012005197450063246
dispute,0.009897126640652714,0.009907120743034056,-9.994102381342268e-06
divine,0.001135154310039021,0.001529775997086141,-0.0003946216870471201
domestic_work,0.0022348350478893224,0.0023310872336550718,-9.625218576574937e-05
dominant_heirarchical,0.007343029443064916,0.005718448370060098,0.0016245810730048183
dominant_personality,0.0018091521816246895,0.001019850664724094,0.0007893015169005955
driving,0.0047534586732884,0.0063012201784738665,-0.0015477615051854663
eating,0.0017027314650585315,0.002549626661810235,-0.0008468951967517033
economics,0.02859169918410784,0.02629757785467128,0.0022941213294365576
emotional,0.0021638879035118836,0.002549626661810235,-0.00038573875829835125
envy,0.0011706278822277403,0.0005827718084137679,0.0005878560738139724
exasperation,0.000532103582830791,0.0006920415224913495,-0.00015993793966055843
exercise,0.0010287335934728626,0.001602622473137862,-0.0005738888796649993
exotic,0.0020574671869457253,0.0030231287561464214,-0.0009656615692006962
fabric,0.0008158921603405463,0.0016390457111637225,-0.0008231535508231762
family,0.0027669386307201133,0.004297942087051539,-0.0015310034563314253
farming,0.004434196523589925,0.002768166089965398,0.0016660304336245275
fashion,0.0015963107484923732,0.001238390092879257,0.00035792065561311617
fear,0.004505143667967364,0.002549626661810235,0.0019555170061571294
feminine,0.00014189428875487761,0.0006191950464396285,-0.00047730075768475093
fight,0.008797445902802412,0.005317792751775633,0.003479653151026779
fire,0.003689251507626818,0.005244946275723912,-0.001555694768097094
friends,0.0016317843206810926,0.0027317428519395373,-0.0010999585312584446
fun,0.002021993614757006,0.0016754689491895829,0.00034652466556742297
furniture,0.000177367860943597,0.000874157712620652,-0.000696789851677055
gain,0.01958141184817311,0.00943361864869787,0.010147793199475242
giving,0.01606952820148989,0.01311236568930978,0.00295716251218011
government,0.025966654842142604,0.02411218357311965,0.0018544712690229531
hate,0.0010996807378503015,0.0019304316153706065,-0.000830750877520305
healing,0.005640297978006385,0.005900564560189401,-0.00026026658218301565
health,0.004008513657325292,0.003860863230741213,0.0001476504265840793
hearing,0.0036537779354380985,0.004625751229284283,-0.0009719732938461849
help,0.011599858105711245,0.010781278455654708,0.0008185796500565362
heroic,0.00478893224547712,0.003788016754689492,0.0010009154907876278
